S.NO,Plant Name, Plant Medicinal use,Plant Characteristics
1,Aloevera,It  accelerates wound healing/It reduces dental plaque/It helps to treat canker sores,"Aloe vera is a short-stemmed shrub/The leaves of Aloe vera are succulent, erect, and form a dense rosette/Many uses are made of the gel obtained from the plant’s leaves."
2,Amla,It controls diabetes/It improves eye health/It helps to prevent cancer,"This is small tree has yellow-green flowers that blossom into round, edible fruits of the same color/ The fruits are about the size of a golf ball with a pit and thin peel/Their taste has been described as sour, bitter, and astringent."
3,Amruthaballi,"Giloy phytochemicals help to rectify the eye disorders/It acts as antibacterial, antiviral, and boosts body immunity that helps to treat any kind of fever/It is very helpful to manage tuberculosis.","It  is a common climber of dry and deciduous forests /Stems are  rather succulent, creamy white to grey, papery bark and rosette-like pores/Leaves simple heart shaped, very thin with long leaf stalks bulged at the base."
4,Arali,"It may help reduce stress and anxiety levels, promoting mental clarity /It supports cardiovascular health by promoting healthy blood circulation/ It supports aiding in the relief of indigestion and promoting a healthy gut."," Aralia plants vary in size, with some herbaceous species only reaching 50 centimetres tall, while some are trees growing to 20 metres tall/The flowers are whitish or greenish occurring in terminal panicles and the spherical dark purple berry-like fruits"
5,ashoka,It helps in prevention of internal bleeding/It removes kidney stones and treats asthma/It helps to treat acne.,"The ashoka is a rain-forest tree./The ashoka is prized for its beautiful foliage and fragrant flowers./It is a handsome, small, erect evergreen tree, with deep green leaves growing in dense clusters."
6,Astma_weed,It reduces urinary infections/It helps to treat dysentery./Asthma plant leaves will eliminate parasitic worms that are located in the intestines.,"This erect or prostrate annual herb can grow up to 60 cm long with a solid stem /The stem is furnished with many yellow to reddish coarse hairs, produces an abundant white latex./ Leaves are green with some purple coloring."
7,Badipala,"It is used to treat the burns, acne, and skin problems/ It helps beating indigestion, gut health, and piles issues./It helps in strong pain-relieving and anti-inflammatory effects.",It has yellow blossoms and is grown for its medicinal properties./ Its leaves have a bitter and barely pungent flavour./  It grows in a bushy form and remains green for many years.
8,Balloon_Vine,It may help relax muscles and alleviate muscle spasms./It may help reduce fever by lowering body temperature./It may support liver health and aid in detoxification processes.,"It has showy white flowers followed by even shower bladder-like fruits that resemble balloons./  Most members of this family are trees or shrubs, so balloon vine is unique./  It can reach a height and width of 10 feet or more."
9,Bamboo,"Bamboo shoots are rich in dietary fiber, aiding digestion, and promoting a healthy gut./Bamboo has detoxifying properties, assisting in flushing out toxins and impurities from the body./ Bamboo charcoal is used in dental care products for its natural whitening and antibacterial properties.",Bamboo is renowned for its rapid growth./Some species can grow up to 36 inches in a day under the right conditions./Each culm is wrapped in leaf-like sheaths that protect the growing shoots. 
10,Beans," Its antioxidants help protect cells from oxidative damage, reducing the risk of chronic diseases./It exhibits antifungal properties, aiding in the treatment of fungal infections./It may help stabilize blood sugar levels, assisting those with diabetes.","The leaves of Erythrina lysistemon are compound, with three distinct leaflets./They are bright green and provide an attractive canopy during the growing season./The Lucky Bean Tree grows in a variety of soil types, including sandy, loamy, and clay soils"
11,Betel, It helps to heal the wounds faster./It relieves the pain and also dissolves the swelling./It cures cold related disorders.,The stem is strong and thick at the knots./ It also bears flowers which grows in bunch and is spiked. /It also produces fruits which are called Betel nuts.
12,Bhrami,Its helps in improving respiratory health./It helps to boost immunity./It helps in treating digestive issues.,"Brahmi is non-aromatic soft, perennial, creeping herb with succulent leaves./It has numerous branches that grow especially in wet and marshy places. / This edible plant can grow up to 6 inches in height, branches creep horizontally to cover the ground."
13,Bringaraja,"Bhringaraj Oil or Healthy Hair Oil will also support the mind and nervous system./It has ability to calm the mind, promote memory, and strengthen and nourish the nervous system/It helps in detoxify and rejuvenate the liver.","An annual that grows up to about a foot in height, it grows a solitary, white, winged flower reminiscent of a daisy/the flowers are quite delicate, the slightly curly leaves are strong and thick, with a layer of hairs/When crushed, the leaves produce a dark greenish-black liquid"
14,camphor,"camphor is mainly used in creams and ointments for rheumatic pain, neuralgia/ It is a remedy for acute or chronic pneumonia and bronchitis./treat chilblains and to treat acne and cold sores.
","The leaves have a glossy, waxy appearance and smell of camphor when crushed./ In spring, it produces bright green foliage with masses of small white flowers/ It produces clusters of black, berry-like fruit around 1 cm in diameter. "
15,Caricature,"It was historically thought to increase fertility./ It has been used to treat wounds, swelling, abscesses, scabies, and ulcers./It helps with conditions like arthritis, digestive issues, urinary tract infections, ear disease, and enlarged livers.","It is commonly grown as an ornamental and hedge plant in the tropics, and also as a pot plant in colder areas, being valued especially for its attractive, variegated leaves in which some people can see caricatures of the human face"
16,Castor,It treats eye-disorders./It helps to treat jaundice./It helps in killing intestinal worms.,These are the annual plants which are approximately 8-15 ft tall and thin. The stem is greenish white and smooth. It bears branches which are also greenish white and of medium size like sticks. The leaf stalk is usually one foot long and hollow. 
17,Catharanthus,It regulats blood sugar levels./It contributes in  managing high blood pressure./The leaves of the plant possess wound-healing properties.,It regulats blood sugar levels./It contributes in  managing high blood pressure./The leaves of the plant possess wound-healing properties.
18,Chakte,It helps in maintaining blood pressure./It boosts the heart health./It helps in anti-cancer activity.,"The white flesh has a bland flavor./ Some of its varieties have a wide range of flavors like bitter, neutral and slightly sweet. /Its seed tastes like nuts."
19,Chilly,"It helps in reduction in mortality rate./capsaicin is used to alleviate pain./It acts as an anticancer, antidiabetic, anti-obesity, antibacterial, antifungal, anti-clotting, and anti-inflammatory activities.", Chilli plants are small bushes that usually grow for a year or more in warm locations./ They are suitable for container growing./ There are many recognised species and varieties ranging from sweet capsicums that have no heat to the fieriest hot-fruited forms.
20,Citron lime (herelikai), citron lime peel can be used to remove dark spots./It helps in reducing dandruff and getting rid of excess oil./It can rejuvenate the body and aid weight loss.,"The citron produces lemon-like fruit, which grow very slowly and have a very thick skin./It has a pungent aroma as a result of its high content of citral and limonene./ It is precisely this particular skin that is used to flavor cakes once caramelized."
21,Coffee,"It is  used for treating influenza, anemia, edema, asthenia and rage./ It is also found that coffee can cure hepatitis and liver dysfunctions. / It is used as a stimulant for lethargy and intoxication.","Coffee plants have bright green opposite leaves with smooth margins. /Its flowers, white, grow in clusters in the axils of the leaves and are aromatic. /From them, fruits are born. they are red drupes with the size of a cherry."
22,Common rue(naagdalli),"Common Rue helps in killing bacteria and can treat various bacterial infections  of colon and intestine and urinary tract infection./ Food poisoning by bacteria called Salmonella can be prevented and treated ./ Menstrual cramp, muscle pain, and anxiety can be effectively treated .",Rue is an evergreen plant with gland-studded foliage./The feathery pinnately compound leaves usually have two or three leaflets and are often gray-green or blue-green in colour. /The dull yellow flowers are borne in clusters and produce lobed capsules with numerous seeds. 
23,Coriender,It promotes healthy vision./It supports immunity./It helps to lower bad cholestrals.,"It is a soft plant growing to 50 cm  tall./ The leaves are variable in shape, broadly lobed at the base of the plant, and slender and feathery higher on the flowering stems./The seeds exhibit citrus overtones. "
24,Curry,It is used as a wound claenser./It is used to treat hemorrhoids./It is used to treat skin problems.,"The Curry plant is an evergreen subshrub, which can reach growth height up to 70 cm and usually grows very bushy./ The plant is perennial and prefers sunny locations. /Also the plant has relatively narrow roots."
25,Doddpathre,Its helps to reduce allergies caused due to imbalance of pitta virukti./It is used to treat cold and cough./It helps in treatment for intestinal worms.,"Doddapatre is a member of the mint family Lamiaceae and grows up to 1 m tall./ The stem is fleshy, either with long rigid hairs or densely covered with soft, short, and erect hairs./ Leaves are fleshy, simple, broad, and oval-shaped with a tapering tip."
26,Drumstick,It helps to strengthen bones./It helps to promote gut health./It regulates hypertension.,The length of the stick is 25 to 35 cm./ The stick is dark green in color and tasteful./ Each plant yields 250 to 375 sticks and Each plant yields the product for 3 to 4 years.
27,Ekka,Ekka is a natural remedy for cough and cold. /It contains anti-inflammatory properties and is effective against respiratory tract infections./ It helps reduce inflammation and swelling in the lungs. ,"This large shrub, which can sometimes grow large enough to look like a small tree, sports clusters of waxy flowers/ That are either white or lavender in color./ Each flower consists of five pointed petals and a small, elegant ""crown"" rising from the center, which holds the stamens."
28,Eucalyptus,It helps in relieve cold symptoms./it helps in treatment of dryskin./It promotes relaxation.,"Eucalyptus trees have stringybark which is fibrous tough bark with deep furrows, or flaky bark like cork./ Eucalyptus plants are species of flowering trees and shrubs. /The unusual eucalyptus flowers have a fuzzy look due to abundant stamens growing in a circle."
29,Ganigale,Galangal root may help protect your body against certain types of cancer./It reduce disease-causing inflammation./It helps to protect against infections.,It grows about 6 feet tall and has wide blade-like leaves./ The small flowers are greenish-white with a dark-red veined tip. /The flowers produce red berries. 
